"","Anno","Mese","Municipio","Incidenti","Feriti","Morti"
"697",2006,10,6,131,169,1
"698",2006,10,7,127,166,1
"699",2006,10,8,211,277,1
"700",2006,10,9,185,257,1
"701",2006,11,NA,68,91,0
"702",2006,11,1,175,221,0
"703",2006,11,2,92,129,0
"704",2006,11,3,184,256,1
"705",2006,11,4,150,220,0
"706",2006,11,5,124,174,0
"707",2006,11,6,106,147,1
"708",2006,11,7,138,179,0
"709",2006,11,8,181,234,1
"710",2006,11,9,218,299,1
"711",2006,12,NA,56,73,0
"712",2006,12,1,145,197,0
"713",2006,12,2,63,92,0
"714",2006,12,3,147,197,2
"715",2006,12,4,129,182,1
"716",2006,12,5,103,134,0
"717",2006,12,6,104,135,1
"718",2006,12,7,144,189,0
"719",2006,12,8,183,235,3
"720",2006,12,9,191,266,0
"721",2007,1,NA,53,62,0
"722",2007,1,1,143,182,0
"723",2007,1,2,89,115,1
"724",2007,1,3,156,212,0
"725",2007,1,4,86,120,1
"726",2007,1,5,94,130,1
"727",2007,1,6,87,119,0
"728",2007,1,7,111,146,0
"729",2007,1,8,151,199,1
"730",2007,1,9,153,194,0
"731",2007,2,NA,36,51,1
"732",2007,2,1,127,156,0
"733",2007,2,2,65,97,0
"734",2007,2,3,125,170,3
"735",2007,2,4,96,127,1
"736",2007,2,5,114,157,0
"737",2007,2,6,101,160,1
"738",2007,2,7,123,162,1
"739",2007,2,8,150,204,0
"740",2007,2,9,121,179,1
"741",2007,3,NA,59,75,0
"742",2007,3,1,152,198,1
"743",2007,3,2,69,90,2
"744",2007,3,3,140,183,1
"745",2007,3,4,124,157,1
"746",2007,3,5,132,190,1
"747",2007,3,6,130,166,3
"748",2007,3,7,120,159,1
"749",2007,3,8,169,210,0
"750",2007,3,9,176,247,2
"751",2007,4,NA,52,61,0
"752",2007,4,1,112,154,1
"753",2007,4,2,79,104,1
"754",2007,4,3,142,190,2
"755",2007,4,4,115,163,1
"756",2007,4,5,124,178,1
"757",2007,4,6,116,160,0
"758",2007,4,7,132,183,0
"759",2007,4,8,139,194,0
"760",2007,4,9,180,256,0
"761",2007,5,NA,60,77,0
"762",2007,5,1,173,228,0
"763",2007,5,2,113,141,0
"764",2007,5,3,144,189,0
"765",2007,5,4,134,194,3
"766",2007,5,5,126,164,1
"767",2007,5,6,120,161,0
"768",2007,5,7,143,190,0
"769",2007,5,8,160,214,2
"770",2007,5,9,211,286,0
"771",2007,6,NA,55,76,1
"772",2007,6,1,148,190,2
"773",2007,6,2,84,113,2
"774",2007,6,3,176,242,0
"775",2007,6,4,128,167,0
"776",2007,6,5,128,164,0
"777",2007,6,6,118,164,1
"778",2007,6,7,160,227,1
"779",2007,6,8,158,200,1
"780",2007,6,9,160,235,0
"781",2007,7,NA,40,52,0
"782",2007,7,1,157,192,0
"783",2007,7,2,101,135,2
"784",2007,7,3,176,228,0
"785",2007,7,4,146,203,1
"786",2007,7,5,141,186,1
"787",2007,7,6,132,172,1
"788",2007,7,7,124,164,1
"789",2007,7,8,146,205,3
"790",2007,7,9,173,260,0
"791",2007,8,NA,26,35,0
"792",2007,8,1,67,85,0
"793",2007,8,2,44,68,0
"794",2007,8,3,72,94,0
"795",2007,8,4,63,89,2
"796",2007,8,5,77,107,0
"797",2007,8,6,60,85,2
"798",2007,8,7,55,65,0
"799",2007,8,8,84,119,1
"800",2007,8,9,90,137,2
"801",2007,9,NA,47,56,0
"802",2007,9,1,154,184,0
"803",2007,9,2,84,112,0
"804",2007,9,3,168,227,1
"805",2007,9,4,131,170,0
"806",2007,9,5,142,194,1
"807",2007,9,6,111,146,0
"808",2007,9,7,130,169,1
"809",2007,9,8,165,207,1
"810",2007,9,9,175,250,0
"811",2007,10,NA,45,58,0
"812",2007,10,1,180,231,0
"813",2007,10,2,92,117,0
"814",2007,10,3,157,208,0
"815",2007,10,4,145,183,0
"816",2007,10,5,126,149,1
"817",2007,10,6,121,143,2
"818",2007,10,7,144,181,4
"819",2007,10,8,176,229,1
"820",2007,10,9,184,251,1
"821",2007,11,NA,53,73,0
"822",2007,11,1,164,210,0
"823",2007,11,2,86,117,0
"824",2007,11,3,149,189,2
"825",2007,11,4,105,131,0
"826",2007,11,5,121,182,1
"827",2007,11,6,121,156,2
"828",2007,11,7,144,184,2
